"resp_id";"set_id";"screen_1";"storage_1";"price_1";"screen_2";"storage_2";"price_2";"screen_3";"storage_3";"price_3";"selected";"rejected";"age";"gender"
1;1;12.9;128;599;9.7;64;399;10.5;512;799;3;2;51;"Male"
1;2;9.7;256;599;10.5;128;399;12.9;512;949;2;1;51;"Male"
1;3;12.9;128;799;10.5;512;949;9.7;64;599;2;3;51;"Male"
1;4;9.7;512;399;12.9;256;949;10.5;64;799;1;3;51;"Male"
1;5;9.7;128;799;12.9;256;599;10.5;512;399;2;1;51;"Male"
2;1;9.7;128;949;12.9;64;399;10.5;512;599;3;1;33;"Female"
2;2;9.7;128;399;10.5;256;799;12.9;512;949;2;3;33;"Female"
2;3;10.5;64;399;9.7;256;599;12.9;512;949;3;2;33;"Female"
2;4;9.7;64;599;12.9;256;799;10.5;512;949;3;1;33;"Female"
2;5;12.9;512;399;9.7;256;949;10.5;128;599;1;2;33;"Female"
3;1;12.9;512;949;10.5;128;799;9.7;256;399;1;2;33;"Male"
3;2;9.7;512;949;12.9;256;399;10.5;64;799;2;1;33;"Male"
3;3;12.9;512;599;10.5;256;949;9.7;128;799;2;3;33;"Male"
3;4;12.9;64;949;10.5;512;799;9.7;128;599;2;1;33;"Male"
3;5;9.7;128;399;12.9;256;949;10.5;64;799;2;1;33;"Male"
4;1;9.7;64;949;10.5;256;799;12.9;128;399;3;1;34;"Female"
4;2;9.7;64;949;10.5;128;799;12.9;256;399;3;1;34;"Female"
4;3;10.5;128;949;9.7;512;599;12.9;64;799;2;3;34;"Female"
4;4;10.5;64;399;9.7;128;949;12.9;512;799;3;2;34;"Female"
4;5;10.5;256;799;12.9;128;949;9.7;64;399;1;3;34;"Female"
5;1;12.9;64;799;9.7;256;599;10.5;128;399;3;1;44;"Male"
5;2;10.5;256;949;9.7;512;399;12.9;64;799;1;3;44;"Male"
5;3;10.5;512;799;12.9;128;399;9.7;64;949;1;3;44;"Male"
5;4;10.5;256;949;9.7;64;599;12.9;128;799;1;2;44;"Male"
5;5;12.9;128;599;10.5;512;949;9.7;256;399;2;1;44;"Male"
6;1;12.9;64;949;9.7;512;799;10.5;256;399;3;2;35;"Male"
6;2;9.7;512;599;10.5;64;399;12.9;256;799;3;1;35;"Male"
6;3;9.7;256;949;10.5;64;799;12.9;128;599;3;2;35;"Male"
6;4;9.7;128;399;12.9;256;599;10.5;512;799;3;1;35;"Male"
6;5;9.7;512;399;10.5;128;799;12.9;64;949;2;3;35;"Male"
7;1;9.7;64;599;12.9;256;799;10.5;512;399;2;1;48;"Male"
7;2;10.5;64;399;9.7;128;599;12.9;256;799;3;2;48;"Male"
7;3;10.5;64;399;12.9;512;799;9.7;256;599;2;3;48;"Male"
7;4;10.5;512;399;12.9;64;599;9.7;256;949;1;3;48;"Male"
7;5;9.7;512;599;12.9;128;799;10.5;64;399;3;1;48;"Male"
8;1;9.7;64;799;10.5;512;949;12.9;128;599;2;1;47;"Male"
8;2;12.9;64;799;10.5;256;599;9.7;128;949;2;1;47;"Male"
8;3;10.5;512;949;12.9;256;599;9.7;64;399;1;2;47;"Male"
8;4;9.7;256;599;12.9;512;799;10.5;128;949;2;1;47;"Male"
8;5;9.7;128;599;10.5;512;949;12.9;256;399;3;1;47;"Male"
9;1;9.7;256;949;12.9;128;399;10.5;64;799;2;3;29;"Male"
9;2;9.7;256;949;12.9;512;599;10.5;128;399;2;1;29;"Male"
